Detector Type: SHITOMASI Descriptor Type: BRISK

TASK.5.6: Image Number :1 ,TTC_Lidar ,12s, TTC_CAMERA,14s
TASK.5.6: Image Number :2 ,TTC_Lidar ,13s, TTC_CAMERA,13s
TASK.5.6: Image Number :3 ,TTC_Lidar ,16s, TTC_CAMERA,13s
TASK.5.6: Image Number :4 ,TTC_Lidar ,14s, TTC_CAMERA,12s
TASK.5.6: Image Number :5 ,TTC_Lidar ,12s, TTC_CAMERA,12s
TASK.5.6: Image Number :6 ,TTC_Lidar ,13s, TTC_CAMERA,11s
TASK.5.6: Image Number :7 ,TTC_Lidar ,13s, TTC_CAMERA,11s
TASK.5.6: Image Number :8 ,TTC_Lidar ,13s, TTC_CAMERA,13s
TASK.5.6: Image Number :9 ,TTC_Lidar ,12s, TTC_CAMERA,11s
TASK.5.6: Image Number :10 ,TTC_Lidar ,11s, TTC_CAMERA,16s
TASK.5.6: Image Number :11 ,TTC_Lidar ,11s, TTC_CAMERA,11s
TASK.5.6: Image Number :12 ,TTC_Lidar ,9s, TTC_CAMERA,11s
TASK.5.6: Image Number :13 ,TTC_Lidar ,9s, TTC_CAMERA,11s
TASK.5.6: Image Number :14 ,TTC_Lidar ,9s, TTC_CAMERA,12s
TASK.5.6: Image Number :15 ,TTC_Lidar ,8s, TTC_CAMERA,10s
TASK.5.6: Image Number :16 ,TTC_Lidar ,8s, TTC_CAMERA,10s
TASK.5.6: Image Number :17 ,TTC_Lidar ,11s, TTC_CAMERA,10s
TASK.5.6: Image Number :18 ,TTC_Lidar ,8s, TTC_CAMERA,9s

Detector Type: SHITOMASI Descriptor Type: BRIEF

TASK.5.6: Image Number :1 ,TTC_Lidar ,12s, TTC_CAMERA,14s
TASK.5.6: Image Number :2 ,TTC_Lidar ,13s, TTC_CAMERA,13s
TASK.5.6: Image Number :3 ,TTC_Lidar ,16s, TTC_CAMERA,9s
TASK.5.6: Image Number :4 ,TTC_Lidar ,14s, TTC_CAMERA,14s
